RR,BApplication,NAP,latitude,longitude,biochar_pH,highestT,Biochar carbon,Biochar.Nitrogen,Biochar.Ash,Biochar C/N,Soil_PH,CEC,Soil Organic Carbon,sand,silt,clay,feedstock,croptype,texture,PyrolysisType
-0.21,100,\N,\N,\N,7.2,500,0.84,0.01,\N,70,6.7,\N,\N,0.55,0.3,0.15,Wood,grass,Light,slow
-0.31,120,\N,\N,\N,7.2,500,0.84,0.01,\N,70,6.7,\N,\N,0.55,0.3,0.15,Wood,grass,Light,slow
0.03,10,\N,\N,\N,7.2,500,0.84,0.01,\N,70,6.7,\N,\N,0.55,0.3,0.15,Wood,grass,Light,slow
0.19,30,\N,\N,\N,7.2,500,0.84,0.01,\N,70,6.7,\N,\N,0.55,0.3,0.15,Wood,grass,Light,slow
0.75,60,\N,\N,\N,7.2,500,0.84,0.01,\N,70,6.7,\N,\N,0.55,0.3,0.15,Wood,grass,Light,slow
-0.13,100,\N,\N,\N,7.2,500,0.84,0.01,\N,70,6.7,\N,\N,0.55,0.3,0.15,Wood,grass,Light,slow
-0.41,120,\N,\N,\N,7.2,500,0.84,0.01,\N,70,6.7,\N,\N,0.55,0.3,0.15,Wood,grass,Light,slow
0.22,10,114,\N,\N,7.2,500,0.84,0.01,\N,70,8,16,\N,0.35,0.36,0.29,Wood,cereal,Medium,slow
0.1,10,114,\N,\N,7.2,500,0.84,0.01,\N,70,8,16,\N,0.35,0.36,0.29,Wood,cereal,Medium,slow
0.22,10,413,\N,\N,7.2,500,0.84,0.01,\N,70,7.1,\N,\N,0.27,0.58,0.15,Wood,cereal,Medium,slow
0.05,10,413,\N,\N,7.2,500,0.84,0.01,\N,70,7.1,\N,\N,0.27,0.58,0.15,Wood,cereal,Medium,slow
0.07,10,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.12,20,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.14,10,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.24,20,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0,10,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.17,20,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.28,10,0,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.28,20,0,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.18,10,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.26,20,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.21,10,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.16,20,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.13,10,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.28,20,\N,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.39,10,0,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0.39,20,0,4.6,9.5,\N,550,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,cereal,\N,slow
0,1.5,55,-28.5,115.97,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
0.05,3,55,-28.5,115.97,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
0.01,6,55,-28.5,115.97,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
0.01,1.5,30,-28.5,115.97,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
-0.05,3,30,-28.5,115.97,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
0.21,6,30,-28.5,115.97,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
0.41,1.5,100,-28.5,115.97,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
0.4,3,100,-28.5,115.97,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
0.4,6,100,-28.5,115.97,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
0.06,1.5,110,-30.36,117.12,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
0.06,3,110,-30.36,117.12,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
